Лог сопоставления главы 03 (прямой построчный режим)
Китайских строк: 56, русских строк: 56
Проблем найдено: 0
======================================================================

#1
  ZH [6.49 - 10.46]  三、两个死对头。
#49
  ZH [338.14 - 344.04]  就在这时候,爷爷飞一样地拿出了枪。
  RU [215.39 - 218.39]  Именно в этот момент дедушка словно летя достал ружьё.

#50
  ZH [345.6 - 351.2]  还是晚了,头雁没有给爷爷机会。
  RU [219.79 - 223.61]  Всё равно было поздно, вожак гусей не дал дедушке возможности.

#51
  ZH [352.27 - 355.68]  就在爷爷刚去拿枪的时候,
  RU [225.43 - 228.29]  Как раз когда дедушка только потянулся взять ружьё,

#52
  ZH [356.95 - 360.32]  头雁已经大叫起来。
  RU [230.05 - 232.11]  вожак гусей уже громко закричал.

#53
  ZH [362.27 - 368.18]  这只头雁真是我的死对头,
  RU [233.85 - 236.55]  Этот вожак гусей действительно мой заклятый враг,

#54
  ZH [368.82 - 372.84]  我一定要打到它。
  RU [238.39 - 240.45]  я обязательно должен попасть в него.

#55
  ZH [374.08 - 378.73]  爷爷收拾着那个旧包,
  RU [242.15 - 244.49]  Дедушка, собирая ту старую сумку,

#56
  ZH [378.99 - 380.99]  特别不高兴地说。
  RU [246.35 - 247.83]  сказал очень недовольно.
