Лог сопоставления главы 10 (прямой построчный режим)
Китайских строк: 64, русских строк: 64
Проблем найдено: 0
======================================================================

#1
  ZH [7.4 - 12.16]  头雁又飞起来了。
  RU [76.42 - 79.86]  Я ставил его на тот стол, хотел дать ему немного отдохнуть

#21
  ZH [129.6 - 133.31]  可它马上又往下飞！
  RU [81.19 - 83.4]  Но он сразу же снова летел вниз

#22
  ZH [134.95 - 137.0]  飞了一个多月，
  RU [84.89 - 86.42]  Пролетав больше месяца

#23
  ZH [137.8 - 140.15]  不知道多少次，
  RU [87.79 - 89.14]  Неизвестно сколько раз

#24
  ZH [141.21 - 144.0]  小白飞好了。
  RU [90.57 - 92.57]  Сиабай снова хорошо полетел

#25
  ZH [145.05 - 151.31]  我又让它站在我家的房子上往下飞。
  RU [93.97 - 97.66]  Я снова заставил его встать на доме у меня дома и лететь вниз

#26
  ZH [152.6 - 155.0]  飞了两个多月，
  RU [99.17 - 101.03]  Пролетав больше двух месяцев

#27
  ZH [155.9 - 159.0]  小白又飞好了。
  RU [102.41 - 104.38]  Сиабай снова стал хорошо летать

#28
  ZH [160.15 - 163.0]  不久，夏天到了，
  RU [105.75 - 107.08]  Вскоре пришло лето

#29
  ZH [163.5 - 166.57]  几门课都考试完了。
  RU [108.66 - 111.14]  Экзамены по нескольким предметам закончились

#30
  ZH [167.7 - 169.0]  放暑假后，
  RU [112.28 - 113.94]  После начала летних каникул

#31
  ZH [169.6 - 173.69]  学校没有老师和同学，
  RU [115.07 - 117.66]  В школе не было учителей и одноклассников

#32
  ZH [174.45 - 181.52]  我就让小白站在学校的小楼上往下飞……
  RU [119.07 - 123.02]  Я тогда заставил Сиабая встать на маленьком здании школы и лететь вниз

#33
  ZH [182.93 - 185.39]  虽然天气很热，
  RU [124.36 - 126.23]  Хотя погода была очень журкой

#34
  ZH [186.1 - 190.14]  但是小白一点儿都不怕。
  RU [127.61 - 129.55]  Но Сиабай нисколько не боялся

#35
  ZH [191.8 - 194.0]  一天一天，
  RU [130.89 - 131.67]  День за днем

#36
  ZH [194.4 - 200.17]  小白的翅膀已经长出了长长的羽毛，
  RU [133.04 - 135.75]  На крыльях Сиабая уже выросли длинные перья

#37
  ZH [201.05 - 206.07]  现在，它已经飞得很好了。
  RU [137.18 - 139.13]  Теперь он уже очень хорошо летает

#38
  ZH [207.91 - 213.19]  从小白能飞高飞远开始，
  RU [140.51 - 143.87]  С того времени, как Сиабай смог летать высоко и далеко

#39
  ZH [214.01 - 229.0]  每天早上，小白都和小黄一起，飞到村子西边的湿地里或者北边的大山里去。
  RU [145.17 - 151.41]  Каждое утро Сиабай вместе с Сиахуанем летит на заболоченные земли к западу от деревни или в большие горы на севере

#40
  ZH [230.16 - 233.0]  虽然飞得很远，
  RU [152.44 - 154.28]  Хотя они улетают очень далеко

#41
  ZH [233.77 - 243.0]  但是只要我站在房子上大叫：“小白———，小黄———”
  RU [155.58 - 161.42]  Но стоит мне только встать на доме и громко крикнуть «Сиабай! Сиахуан!»

#42
  ZH [244.2 - 251.0]  小白、小黄就一定马上飞回来。
  RU [161.74 - 165.06]  Сиабай и Сиахуан обязательно сразу прилетают обратно

#43
  ZH [251.85 - 256.3]  这两只大雁知道我在叫谁。
  RU [166.4 - 168.8]  Эти два гуся знают, кого я зову

#44
  ZH [257.95 - 264.0]  又到十月了，天气开始冷了，
  RU [169.9 - 173.12]  Снова наступил октябрь, погода начала холодать

#45
  ZH [264.75 - 267.0]  我有点儿紧张，
  RU [174.46 - 175.74]  Я немного нервничал

#46
  ZH [267.8 - 271.41]  我也说不出我紧张什么。
  RU [177.03 - 180.16]  Я и сам не мог сказать, из-за чего я нервничаю

#47
  ZH [271.57 - 279.0]  我真的想让小白、小黄回到雁队里去，
  RU [181.46 - 185.74]  Я действительно хотел, чтобы Сиабай и Сиахуан вернулись в стаю гусей

#48
  ZH [279.6 - 285.0]  回到天上，像以前一样，
  RU [187.07 - 188.96]  Вернулись в небо, как раньше

#49
  ZH [285.8 - 291.0]  每年都到远远的地方去旅行，
  RU [190.43 - 193.9]  Каждый год отправлялись путешествовать в далекие-далекие места

#50
  ZH [291.65 - 297.0]  飞过世界上很多城市、村子，
  RU [195.11 - 198.26]  Пролетали над множеством городов и деревень по всему миру

#51
  ZH [297.65 - 302.11]  看很多机场和大飞机、大火车，
  RU [199.63 - 203.86]  Видели много аэропортов, больших самолетов, больших поездов

#52
  ZH [302.35 - 308.71]  还有很多我没有见过的新东西。
  RU [205.42 - 208.26]  АРА также много нового, чего я еще не видел

#53
  ZH [309.95 - 313.0]  可是，我又非常怕，
  RU [209.68 - 211.38]  Но я также очень боялся

#54
  ZH [313.65 - 321.0]  怕以后再也不能和小白、小黄见面……
  RU [212.83 - 217.41]  Боялся, что потом больше никогда не смогу встретиться с Сиабаем и Сиахуанем

#55
  ZH [321.7 - 323.0]  那几天，
  RU [218.94 - 219.55]  Вольт те дни

#56
  ZH [323.55 - 330.0]  一看见天上飞着“一”字队、“人”字队的大雁，
  RU [220.83 - 224.79]  Как только я видел в небе летящих гусей строем в виде, или строем в виде

#57
  ZH [330.93 - 333.56]  一听到大雁叫，
  RU [226.23 - 227.97]  Как только слышал крики гусей

#58
  ZH [334.2 - 336.46]  我就紧张……
  RU [229.49 - 231.19]  Я сразу начинал нервничать

#59
  ZH [337.87 - 346.5]  有一天，一队大雁飞到了村子西边的湿地休息，
  RU [232.61 - 237.27]  Однажды стая гусей прилетела отдохнуть на заболоченные земли к западу от деревни

#60
  ZH [346.53 - 352.28]  爷爷把我叫过来，慢慢地说：
  RU [238.48 - 240.79]  Дедушка позвал меня и медленно сказал

#61
  ZH [353.57 - 363.77]  “孩子，是让小白、小黄回到雁队的时候了。”
  RU [242.39 - 247.71]  «Дитя, пришло время позволить Сиабаю и Сиахуаню вернуться в стаю гусей»

#62
  ZH [365.05 - 370.15]  我知道，我最怕的事来了。
  RU [248.42 - 252.31]  Я знал: случилось то, чего я больше всего боялся

#63
  ZH [371.1 - 375.33]  我的眼睛里一下有了泪，
  RU [253.98 - 256.13]  Вольта в моих глазах вдруг появились слезы

#64
  ZH [376.01 - 377.98]  很多的泪。
  RU [257.76 - 258.91]  Очень много слез
